Prompt,Answer
ผมอยากจะขอนัดหมายกับแพทย์ผู้เชี่ยวชาญด้านโรคเบาหวาน มีวันไหนว่างบ้างในสัปดาห์นี้,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านโรคเบาหวานในสัปดาห์นี้ สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ รศ. พญ.นันทกร ทองแตง วันพฤหัสบดี เวลา 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 วันศุกร์ เวลา10:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
ดิฉันต้องการนัดพบนักจิตวิทยาเพื่อการปรึกษาเรื่องความเครียด สะดวกมาพบเฉพาะสัปดาห์แรกและสัปดาห์สุดท้ายของเดือน สามารถมาหาหมอได้วันไหนบ้าง,"นัดหมายกับเเพทย์ผู้เชี่ยญชาญด้านจิตเวชศาสตร์ทั่วไป เฉพาะสัปดาห์แรกและสัปดาห์สุดท้ายของเดือน เพื่อปรึกษาเรื่องความเครียด สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ รศ. พญ.กมลเนตร วรรณเสวก วันศุกร์ เวลา 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 "
ช่วยจัดสรรเวลาเพื่อการปรึกษาเรื่องการเตรียมตัวก่อนการผ่าตัดหัวใจให้หน่อย ผมต้องการทราบวันที่ว่างของแพทย์เพื่อจัดเตรียมตารางเวลาของผมให้เหมาะสม,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านการผ่าตัดหัวใจ เพื่อการปรึกษาเรื่องการเตรียมตัวก่อนการผ่าตัดหัวใจ สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ รศ. นพ.เกรียงไกร ตันติวงศ์โกสีย์ วันพฤหัสบดี 12:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 เวลา 12:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5"
ผมต้องการนัดหมายกับแพทย์อายุรกรรมเพื่อหารือเกี่ยวกับการจัดการอาการเบาหวาน ไม่ทราบว่ามีมีแพทย์ลงตรวจในวันจันทร์หรือวันพุธที่จะถึงนี้หรือไม่,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านการป้องกันเบาหวาน ในวันจันทร์หรือวันพุธ เพื่อหารือเกี่ยวกับการจัดการอาการเบาหวาน สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้  พญ.นันทวรรณ อิภิชาติ จันทร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 13:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1,5 08:00 - 12:00 น. สัปดาห์ที่ 2 13:00 - 14:00 น. สัปดาห์ที่ 1,5 13:00 - 16:00 น. สัปดาห์ที่ 2 13:00 - 16:00 น. สัปดาห์ที่ 3,4 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 4 13:00 - 14:00 น. สัปดาห์ที่ 4 อาทิตย์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5"
ผมมีโปรแกรมการฟื้นฟูหลังจากการผ่าตัดเข่า แต่ผมว่างเฉพาะวันอังคารและวันศุกร์ของเดือนนี้ ผมสามารถมาโรงพยาบาลเพื่อพบแพทย์วันไหนได้บ้าง,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านการผ่าตัดโรคกระดูกและข้อที่เกิดจากการกีฬา ในวันอังคาร เพื่อฟื้นฟูหลังจากการผ่าตัดเข่า สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ รศ. นพ.บวรฤทธิ์ จักรไพวงศ์ อังคาร 07:30 - 08:30 น. สัปดาห์ที่ 1,2,3,4,5 "
ดิฉันต้องการนัดหมายเพื่อการตรวจเช็คการก้าวหน้าของภาวะต้อหินที่มี ถ้าภายในสัปดาห์หน้าดิฉันสามารถมาโรงพยาบาลได้เลยไหม,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านโรคต้อหิน ในสัปดาห์หน้า เพื่อการตรวจเช็คการก้าวหน้าของภาวะต้อหินที่มี สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ ศ. พญ.งามแข เรืองวรเวทย์ อังคาร 16:00 - 18:55 น. สัปดาห์ที่ 2,4,5 พฤหัสบดี 13:00 - 16:02 น. สัปดาห์ที่ 1,2,3,4,5 "
คุณพ่ออยากทำนัดหมายหารือเกี่ยวกับการรักษาสำหรับภาวะกระดูกพรุน ส่วนผมสะดวกพาคุณพ่อมาในวันธรรมดาได้ช่วงบ่าย ผมสามารถพาคุณพ่อมาตรวจวันไหนที่เร็วที่สุดได้ครับ,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านการบาดเจ็บทางกระดูก และการผ่าตัดเสริมสร้างผู้ใหญ่ ในวันธรรมดาช่วงบ่าย เพื่อหารือเกี่ยวกับการรักษาสำหรับภาวะกระดูกพรุน สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ รศ. นพ.ก้องเขต เหรียญสุวรรณ พุธ 17:00 - 19:00 น. สัปดาห์ที่ 1,2,4 17:00 - 19:00 น. สัปดาห์ที่"
จมูกที่เสริมไว้ยังไม่ถูกใจ อยากจะแก้ไข ขอทราบตารางตรวจของหมอในอีก 2 เดือนข้างหน้าเพื่อทำการนัดหมายหน่อย,"ตารางตรวจของแพทย์ผู้เชี่ยวชาญด้านศัลยกรรมปรับรูปหน้าเเละศัลยกรรมตกแต่งและเสริมสร้าง เพื่อศัลยกรรมเเก้ไขจมูก ในอีก2เดือนข้างหน้า สามารถนัดหมายกับรายชื่อเเพทย์ดังต่อไปนี้ ผศ. นพ.สรุจ ชัยศรีสวัสดิ์สุข อังคาร 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5"
ผมต้องใช้ประกันสุขภาพของบริษัทเพื่อรักษารากฟันภายใน 90 วัน ผมสามารถมาพบหมอฟันได้เร็วสุดวันไหนครับ,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านรักษาคลองรากฟัน  เพื่อรักษารากฟันภายใน 90 วัน สามารถนัดหมายได้เร็วที่สุดกับรายชื่อเเพทย์ดังต่อไปนี้ ทพญ.น้ำฝน สุขเกษม จันทร์ 08:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 "
เราอยากปรึกษาปัญหามีบุตรยาก แต่เราทั้งคู่ไม่สะดวกมาในวันจันทร์ พวกเราสามารถมาพบแพทย์เร็วสุดได้วันไหนคะ,"นัดหมายกับแพทย์ผู้เชี่ยวชาญด้านเวชศาสตร์มารดาและทารกในครรภ์  ปรึกษาปัญหามีบุตรยาก เเต่ไม่สะดวกมาในวันจันทร์ สามารถพบเเพทย์ได้เร็วที่สุดกับรายชื่อเเพทย์ดังต่อไปนี้ รศ. พญ.กติกา นวพันธุ์ เสาร์ 14:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 "
