table_check,URL,qualification,Expertise,Titles,First Name,Last Name
"เสาร์ 14:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=656,"แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2544วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาสูติศาสตร์และนรีเวชวิทยา จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2550วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาเวชศาสตร์มารดาและทารกในครรภ์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2552Certificate in Fetal Intervention, University Hospital, Leuven, KU Leuven, Belgium (Research Fellow)พ.ศ.2557",เวชศาสตร์มารดาและทารกในครรภ์,รศ. พญ,กติกา,นวพันธุ์
"พุธ 08:00 - 11:15 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=19,การผ่าตัดรักษาภาวะสายตาผิดปกติด้วยวิธี ReLEx Pro,ศัลยกรรมกระดูกเบ้าตาและตกแต่ง,รศ. พญ,กนกรัตน์,พรพาณิชย์
"พฤหัสบดี 13:30 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 16:00 - 19:00 น. สัปดาห์ที่ 2,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=430,แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2551วุฒิบัตรสาขาโสต ศอ นาสิก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2557แพทย์เฟลโลว์ สาขาโสต ประสาท การได้ยินและการทรงตัว คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2558,โสต ประสาท การได้ยินและการทรงตัว,อ. พญ,กนกรัตน์,สุวรรณสิทธิ์
กรุณานัดล่วงหน้า,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1199,ทันตแพทยศาสตร์บัณฑิต คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล พ.ศ.2553ประกาศนียบัตรทันตแพทย์ประจำบ้านสาขาทันตกรรมจัดฟัน คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล พ.ศ.2562วุฒิบัตรสาขาทันตกรรมจัดฟัน ทันตแพทยสภา พ.ศ.2563,ทันตกรรมจัดฟัน การจัดฟันด้วยการผ่าตัดจัดฟัน,ทพญ,กนกอร,ตันติพาณิชย์กูล
"พุธ 16:00 - 18:00 น. สัปดาห์ที่ 1,3,5 อาทิตย์ 10:00 - 12:00 น. สัปดาห์ที่ 2,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=2,โรคมือ เท้า ปาก(hand-foot-and-mouth disease),กุมารเวชศาสตร์โลหิตวิทยาและมะเร็งในเด็ก,ผศ. นพ,กมล,เผือกเพ็ชร
จันทร์ 08:30 - 12:00 น. 13:00 - 16:00 น. 16:30 - 19:30 น. อังคาร 08:30 - 12:00 น. 13:00 - 16:00 น. 16:30 - 19:30 น. พฤหัสบดี 08:30 - 12:00 น. 13:00 - 16:00 น. 16:30 - 19:30 น. อาทิตย์ 08:30 - 12:00 น. 13:00 - 16:00 น.,https://www.siphhospital.com/th/medical-services/doctor-biography?id=699,ทันตแพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 2) จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2554ประกาศนียบัตรชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก สาขาทันตกรรมหัตถการ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2559,ทันตกรรมหัตถการ,ทพญ,กมลชนก,ศรีเมืองธน
พุธ 10:30 - 12:00 น.,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1272,PM 2.5 เลี่ยงฝุ่นร้ายทำลายปอด,อายุรศาสตร์โรคระบบหายใจและภาวะวิกฤตระบบการหายใจ,ผศ. พญ,กมลทิพย์,กุลวิภากร
"จันทร์ 08:00 - 09:30 น. สัปดาห์ที่ 1,2,3,4,5 11:30 - 13:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=606,"ว.ว.(เวชศาสตร์ฟื้นฟู), พ.บ., วท.บ.(การแพทย์), อ.ว. (เวชศาสตร์ครอบครัว)Certificate of Acupuncture Shanghai Traditional Medicine UniversityCerticate of Internship Police General Hospital.",เวชศาสตร์ฟื้นฟู,ศ.คลินิก พญ,กมลทิพย์,หาญผดุงกิจ
"ศุกร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=30,"แพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 2) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิกวุฒิบัตรแสดงความรู้ความชำนาญในการประกอบวิชาชีพเวชกรรม สาขาจิตเวชศาสตร์Master of Rehabilitation Counseling จาก The University of Sydney, Australia",จิตเวชศาสตร์ทั่วไป,รศ. พญ,กมลเนตร,วรรณเสวก
"เสาร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,3,5 13:00 - 15:00 น. สัปดาห์ที่ 2,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1220,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ..2556วุฒิบัตรสาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ..2562วุฒิบัตรสาขาอายุรศาสตร์โรคติดเชื้อ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ..2564,อายุรกรรม โรคติดเชื้อ,พญ,กมลวรรธก์,สุทธิภูล
